"","HostCorrectedName_MSW05","Arthropod","Helminth","Bacteria","Protozoa","Virus"
"1","Cheirogaleus_medius",1,10,0,0,0
"2","Daubentonia_madagascariensis",1,4,0,0,0
"3","Eulemur_albifrons",0,3,1,0,0
"4","Eulemur_collaris",2,2,0,0,0
"5","Eulemur_coronatus",3,0,0,0,0
"6","Eulemur_flavifrons",0,2,0,0,0
"7","Eulemur_fulvus",2,4,0,0,0
"8","Eulemur_macaco",1,5,6,1,0
"9","Eulemur_mongoz",1,3,0,0,0
"10","Eulemur_rubriventer",0,2,0,1,3
"11","Eulemur_rufus",1,4,3,4,4
"12","Galago_moholi",4,1,0,0,0
"13","Hapalemur_griseus",2,2,0,1,0
"14","Lemur_catta",5,4,9,2,0
"15","Microcebus_murinus",4,18,0,0,0
"16","Mirza_coquereli",0,4,0,0,0
"17","Nycticebus_coucang",0,7,0,2,1
"18","Propithecus_coquereli",0,3,0,1,0
"19","Propithecus_diadema",5,3,0,0,0
"20","Varecia_rubra",0,1,8,0,0
"21","Varecia_variegata",1,1,2,1,0
