,species,Scientific_Name.x,LYMPHOCYTEMaledivAverage_Ratio,ALLWBCMaledivAverage_Ratio,BASOPHILMaledivAverage_Ratio,EOSINOPHILMaledivAverage_Ratio,MONOCYTEMaledivAverage_Ratio,NEUTROPHILMaledivAverage_Ratio
1,Aye-aye,Daubentonia_madagascariensis,1.010323625,0.941808989,0.964093151,0.713988199,1.02574374,0.992570481
2,Black and White Ruffed Lemur,Varecia_variegata_variegata,1.036053131,0.828685204,2,1.041756286,0.876404494,0.975825975
3,Blue-eyed Black Lemur,Eulemur_macaco_flavifrons,0.964019934,0.968513722,1.090689421,1.158401054,0.996673952,1.019543959
4,Collared Lemur,Eulemur_fulvus_collaris,0.931670569,1.029424206,1.059304703,0.903419837,1.147393807,1.063689855
5,Common Black Lemur,Eulemur_macaco_macaco,1.055884616,1.07874528,0.584269663,1.035658375,0.788785047,0.978818997
6,Common Brown Lemur,Eulemur_fulvus_fulvus,1.129310345,0.881597718,NA,0.692307692,1.021276596,0.807424594
7,Coquerel's Lemur,Propithecus_coquereli,0.914527275,1.040659928,1.244184529,1.116443286,0.938996159,1.048708824
8,Crowned lemur,Eulemur_coronatus,1.06662721,1.00712983,0.501628664,0.824698368,0.907625876,0.962549687
9,Eastern Lesser Bamboo Lemur,Hapalemur_griseus_alaotrensis,0.970040081,1.013257865,0.771743569,0.765682732,0.939768831,1.049331463
10,Fat-tailed Dwarf Lemur,Cheirogaleus_medius,1.037965352,0.972258917,0,0.724137931,0.72972973,0.953741074
11,Golden-crowned Sifaka,Propithecus_tattersalli,NA,NA,NA,NA,NA,NA
12,Grey Mouse Lemur,Microcebus_murinus,0.864197531,0.918149466,NA,0.375,1,1.221052632
13,Lesser Bushbaby,Galago_senegalensis,0.987951807,0.887749288,2,1.151515152,1.167567568,1.010695187
14,Mongoose Lemur,Eulemur_mongoz,0.987788226,0.896270854,0.785597381,0.949831097,0.936383026,1.019234993
15,Northern Giant Mouse Lemur,Mirza_zaza,1.007991924,0.974943052,2,0.711864407,1.097345133,0.991233985
16,Pygmy Slow Loris,Nycticebus_pygmaeus,0.957167731,1.031557569,0.918489066,1.925,1.036202735,1.049238038
17,Red-bellied Lemur,Eulemur_rubriventer,0.962327443,0.950097716,0.573584906,0.783316012,1.016882184,1.03898128
18,Red-fronted Lemur,Eulemur_fulvus_rufus,1.002055155,0.968573006,1,0.931518503,0.854435378,1.008498107
19,Red-ruffed Lemur,Varecia_rubra,0.997856875,0.856656187,1.415604063,1.017199098,1.003006193,1.001329928
20,Ringtailed Lemur,Lemur_catta,1.022025862,0.935366454,1.427857362,1.00179443,0.946131855,0.987364358
21,Sanford's Lemur,Eulemur_fulvus_sanfordi,0.965170031,1.032854752,0.864864865,0.930555556,0.859504132,1.049023257
22,Slender Loris,Loris_tardigradus,1.005328597,0.840033501,2,1.62962963,1.215686275,0.967223253
23,Slow Loris,Nycticebus_coucang,1.167472108,0.967321989,1.777777778,0.604765818,0.895259096,0.81286668
